Region_Index,Brain_Region,ggseg,Hemisphere,Base_Region
0,ctx-lh-bankssts,ctx-lh-bankssts,Left,bankssts
1,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Left,caudalanteriorcingulate
2,ctx-lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Left,caudalmiddlefrontal
3,ctx-lh-cuneus,ctx-lh-cuneus,Left,cuneus
4,ctx-lh-entorhinal,ctx-lh-entorhinal,Left,entorhinal
5,ctx-lh-fusiform,ctx-lh-fusiform,Left,fusiform
6,ctx-lh-inferiorparietal,ctx-lh-inferiorparietal,Left,inferiorparietal
7,ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,Left,inferiortemporal
8,ctx-lh-isthmuscingulate,ctx-lh-isthmuscingulate,Left,isthmuscingulate
9,ctx-lh-lateraloccipital,ctx-lh-lateraloccipital,Left,lateraloccipital
10,ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Left,lateralorbitofrontal
11,ctx-lh-lingual,ctx-lh-lingual,Left,lingual
12,ctx-lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Left,medialorbitofrontal
13,ctx-lh-middletemporal,ctx-lh-middletemporal,Left,middletemporal
14,ctx-lh-parahippocampal,ctx-lh-parahippocampal,Left,parahippocampal
15,ctx-lh-paracentral,ctx-lh-paracentral,Left,paracentral
16,ctx-lh-parsopercularis,ctx-lh-parsopercularis,Left,parsopercularis
17,ctx-lh-parsorbitalis,ctx-lh-parsorbitalis,Left,parsorbitalis
18,ctx-lh-parstriangularis,ctx-lh-parstriangularis,Left,parstriangularis
19,ctx-lh-pericalcarine,ctx-lh-pericalcarine,Left,pericalcarine
20,ctx-lh-postcentral,ctx-lh-postcentral,Left,postcentral
21,ctx-lh-posteriorcingulate,ctx-lh-posteriorcingulate,Left,posteriorcingulate
22,ctx-lh-precentral,ctx-lh-precentral,Left,precentral
23,ctx-lh-precuneus,ctx-lh-precuneus,Left,precuneus
24,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Left,rostralanteriorcingulate
25,ctx-lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Left,rostralmiddlefrontal
26,ctx-lh-superiorfrontal,ctx-lh-superiorfrontal,Left,superiorfrontal
27,ctx-lh-superiorparietal,ctx-lh-superiorparietal,Left,superiorparietal
28,ctx-lh-superiortemporal,ctx-lh-superiortemporal,Left,superiortemporal
29,ctx-lh-supramarginal,ctx-lh-supramarginal,Left,supramarginal
30,ctx-lh-frontalpole,ctx-lh-frontalpole,Left,frontalpole
31,ctx-lh-temporalpole,ctx-lh-temporalpole,Left,temporalpole
32,ctx-lh-transversetemporal,ctx-lh-transversetemporal,Left,transversetemporal
33,ctx-lh-insula,ctx-lh-insula,Left,insula
34,ctx-rh-bankssts,ctx-rh-bankssts,Right,bankssts
35,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Right,caudalanteriorcingulate
36,ctx-rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Right,caudalmiddlefrontal
37,ctx-rh-cuneus,ctx-rh-cuneus,Right,cuneus
38,ctx-rh-entorhinal,ctx-rh-entorhinal,Right,entorhinal
39,ctx-rh-fusiform,ctx-rh-fusiform,Right,fusiform
40,ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,Right,inferiorparietal
41,ctx-rh-inferiortemporal,ctx-rh-inferiortemporal,Right,inferiortemporal
42,ctx-rh-isthmuscingulate,ctx-rh-isthmuscingulate,Right,isthmuscingulate
43,ctx-rh-lateraloccipital,ctx-rh-lateraloccipital,Right,lateraloccipital
44,ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Right,lateralorbitofrontal
45,ctx-rh-lingual,ctx-rh-lingual,Right,lingual
46,ctx-rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Right,medialorbitofrontal
47,ctx-rh-middletemporal,ctx-rh-middletemporal,Right,middletemporal
48,ctx-rh-parahippocampal,ctx-rh-parahippocampal,Right,parahippocampal
49,ctx-rh-paracentral,ctx-rh-paracentral,Right,paracentral
50,ctx-rh-parsopercularis,ctx-rh-parsopercularis,Right,parsopercularis
51,ctx-rh-parsorbitalis,ctx-rh-parsorbitalis,Right,parsorbitalis
52,ctx-rh-parstriangularis,ctx-rh-parstriangularis,Right,parstriangularis
53,ctx-rh-pericalcarine,ctx-rh-pericalcarine,Right,pericalcarine
54,ctx-rh-postcentral,ctx-rh-postcentral,Right,postcentral
55,ctx-rh-posteriorcingulate,ctx-rh-posteriorcingulate,Right,posteriorcingulate
56,ctx-rh-precentral,ctx-rh-precentral,Right,precentral
57,ctx-rh-precuneus,ctx-rh-precuneus,Right,precuneus
58,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,Right,rostralanteriorcingulate
59,ctx-rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,Right,rostralmiddlefrontal
60,ctx-rh-superiorfrontal,ctx-rh-superiorfrontal,Right,superiorfrontal
61,ctx-rh-superiorparietal,ctx-rh-superiorparietal,Right,superiorparietal
62,ctx-rh-superiortemporal,ctx-rh-superiortemporal,Right,superiortemporal
63,ctx-rh-supramarginal,ctx-rh-supramarginal,Right,supramarginal
64,ctx-rh-frontalpole,ctx-rh-frontalpole,Right,frontalpole
65,ctx-rh-temporalpole,ctx-rh-temporalpole,Right,temporalpole
66,ctx-rh-transversetemporal,ctx-rh-transversetemporal,Right,transversetemporal
67,ctx-rh-insula,ctx-rh-insula,Right,insula